City,Max,Min
七台河市,7.9,-2.7
三亚市,31.6,23.6
三明市,24.6,14.7
三沙市,31.9,26.3
三门峡市,23.3,10.0
上饶市,21.6,12.4
东莞市,26.9,20.1
东营市,19.3,7.6
中卫市,20.6,4.1
中山市,27.7,21.6
临夏市,18.1,2.3
临汾市,24.0,9.4
临沂市,21.9,8.3
临沧市,26.0,11.1
丹东市,13.3,1.1
丽水市,21.4,11.6
丽江市,19.7,5.4
乌兰察布市,13.1,-1.9
乌海市,19.7,4.6
乌鲁木齐市,16.6,5.9
乐东黎族市,33.9,20.9
乐山市,23.0,13.4
九江市,22.1,13.0
云浮市,27.0,18.7
五家渠市,22.9,7.7
亳州市,22.6,11.6
仙桃市,23.4,12.1
伊春市,8.1,-5.9
佛山市,27.4,20.6
佳木斯市,9.7,-3.0
保定市,21.4,5.4
保山市,22.9,9.7
信阳市,23.3,11.9
儋州市,33.1,21.7
克州市,24.0,6.9
克拉玛依市,18.9,6.6
六安市,23.1,12.9
六盘水市,19.3,8.7
兰州市,23.3,7.4
兴安盟市,11.0,-1.0
内江市,24.6,14.0
凉山市,25.0,5.9
包头市,18.4,1.3
北京市,20.8,7.4
北海市,27.4,20.6
十堰市,23.4,11.3
南京市,21.7,11.9
南充市,22.7,13.3
南宁市,25.6,18.1
南平市,24.0,14.7
南昌市,22.4,14.3
南沙岛市,30.9,27.4
南通市,19.4,9.6
南阳市,23.4,10.0
博州市,20.1,8.3
厦门市,26.0,17.9
双鸭山市,8.7,-1.4
台州市,19.7,12.1
合肥市,22.7,12.7
吉安市,22.6,14.9
吉林市,9.7,-1.4
吐鲁番市,28.7,14.1
吕梁市,20.0,4.9
吴忠市,20.0,6.6
周口市,22.9,10.0
呼伦贝尔市,5.4,-7.6
呼和浩特市,16.0,1.4
和田市,24.4,12.3
咸宁市,22.4,11.3
咸阳市,24.0,9.1
哈密市,23.9,5.7
哈尔滨市,8.3,-4.0
唐山市,20.1,6.0
商丘市,23.1,9.9
商洛市,23.3,7.0
喀什市,23.6,9.9
嘉兴市,19.9,10.3
嘉峪关市,19.1,5.1
四平市,11.1,0.0
图木舒克市,23.0,13.3
塔城市,16.9,5.7
大兴安岭市,6.1,-7.9
大同市,17.0,-1.9
大庆市,9.3,-3.0
大理市,21.7,8.3
大连市,13.0,5.3
天水市,22.6,7.4
天门市,23.1,12.4
太原市,20.6,4.7
威海市,15.0,5.3
娄底市,22.9,13.4
孝感市,23.9,11.4
宁德市,22.3,15.4
宁波市,19.7,10.4
安庆市,21.4,13.3
安康市,24.1,10.0
安阳市,23.0,9.1
安顺市,18.4,11.0
定安市,32.9,22.7
定西市,19.1,4.1
宜宾市,25.0,13.4
宜昌市,23.0,11.3
宜春市,20.6,13.3
宝鸡市,24.7,8.4
宣城市,22.3,11.6
宿州市,20.9,9.9
宿迁市,21.3,9.7
山南市,15.6,-0.6
岳阳市,21.6,14.4
崇左市,26.6,18.4
巢湖市,22.0,12.9
巫溪市,22.7,10.0
巴中市,22.0,12.1
巴彦淖尔市,15.3,1.7
